,codigo_cvm,cnpj,nome_social,nome_comercial,status,telefone,uf,municipio,logradouro,data_patrimonio_liquido,valor_patrimonio_liquido,data_inicio_situacao,data_registro
85,1074,73585721000184,FONTE CINDAM SA CCV,FONTE CINDAM SA CCV,CANCELADA,35405882,RJ,RIO DE JANEIRO,"AV.ATAULFO DE PAIVA,226/SL.801",1998-12-31,27986910.53,1999-10-29,1993-09-14
86,3298,73004749000180,FORTE S/A CCTVM,IPANEMA S/A CORRETORA,CANCELADA,35251111,SP,SAO PAULO,"RUA TABAPUÃ, 1123",2008-12-31,1304197.31,2008-12-30,1998-09-04
87,2283,76624337000131,FORTUNA CCV S/A,FORTUNA,CANCELADA,33227070,PR,CURITIBA,"R COMENDADOR ARAUJO,143-2 AND",1998-12-31,779096.37,1999-09-23,1968-03-29
88,698,20230272000195,GC PARTICIPAÇÕES LTDA,GERALDO CORREA,CANCELADA,37861599,MG,BELO HORIZONTE,RUA DOS INCONFIDENTES 1075,2014-12-31,3300137.73,2015-11-24,1978-04-25
89,3620,5816451000115,"GENIAL INSTITUCIONAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.","GENIAL INSTITUCIONAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",EM FUNCIONAMENTO NORMAL,32068000,SP,SAO PAULO,"AV. BRIGADEIRO FARIA LIMA, 3.400",2022-12-31,135900961.46,2009-07-24,2009-07-24
90,3212,27652684000162,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,GENIAL INVESTIMENTOS,EM FUNCIONAMENTO NORMAL,39233000,RJ,RIO DE JANEIRO,"PRAIA DE BOTAFOGO, Nº 228",2022-12-31,280655242.59,1997-12-04,1997-12-03
91,3581,9605581000160,GOLDMAN SACHS DO BRASIL CTVM S/A,GOLDMAN SACHS DO BRASIL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,EM FUNCIONAMENTO NORMAL,33710700,SP,SAO PAULO,R LEOPOLDO C MAGALHAES JR 700,2022-12-31,480407504.34,2008-05-30,2008-05-30
92,1724,65913436000117,GUIDE INVESTIMENTOS S.A. CORRETORA DE VALORES,GUIDE INVESTIMENTOS,EM FUNCIONAMENTO NORMAL,35766925,SP,SAO PAULO,AV BRIGADEIRO FARIA LIMA 3064,2022-12-31,135083854.57,1991-01-03,1991-01-03
93,728,24074692000180,GUITTA CCTVM LTDA,GUITTA,CANCELADA,31163500,SP,SAO PAULO,"R.LIBERO BADARO,293/6 AND./CJB",2004-12-31,2821370.27,1997-03-06,1988-07-13
94,1201,33894445000111,HAITONG SECURITIES DO BRASIL CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS S.A.,BES SECURITIES DO BRASIL S.A. CCVM,EM FUNCIONAMENTO NORMAL,30747444,SP,SAO PAULO,"AV BRIGADEIRO FARIA LIMA, 3729",2022-12-31,99204734.73,1968-06-21,1968-06-21
95,582,17312083000157,HH PICCHIONI SA CCVM,HH PICCHIONI,EM FUNCIONAMENTO NORMAL,32387126,MG,BELO HORIZONTE,AVENIDA BERNARDO MONTEIRO,2022-12-31,6737199.3,1967-07-19,1967-07-19
